Longitude;Latitude;Plotname;Plotid;Corner;Status;Location
9.33508967014752;48.4785236154504;AEW01;A18422;NE;VIP;Forest
9.33373065385248;48.4785236154504;AEW01;A18422;NW;VIP;Forest
9.33508967014752;48.4776227145495;AEW01;A18422;SE;VIP;Forest
9.33373065385248;48.4776227145495;AEW01;A18422;SW;VIP;Forest
9.35212883999987;48.3804409269504;AEW02;A20965;NE;VIP;Forest
9.35077244420013;48.3804409269504;AEW02;A20965;NW;VIP;Forest
9.35212883999987;48.3795400260496;AEW02;A20965;SE;VIP;Forest
9.35077244420013;48.3795400260496;AEW02;A20965;SW;VIP;Forest
9.35626941223144;48.4127129521504;AEW03;A21613;NE;VIP;Forest
9.35491215576856;48.4127129521504;AEW03;A21613;NW;VIP;Forest
9.35626941223144;48.4118120512496;AEW03;A21613;SE;VIP;Forest
9.35491215576856;48.4118120512496;AEW03;A21613;SW;VIP;Forest
9.24550579550601;48.3995490985504;AEW04;A5276;NE;VIP;Forest
9.24414889029399;48.3995490985504;AEW04;A5276;NW;VIP;Forest
9.24550579550601;48.3986481976496;AEW04;A5276;SE;VIP;Forest
9.24414889029399;48.3986481976496;AEW04;A5276;SW;VIP;Forest
9.41536052212621;48.4200689186504;AEW05;A30591;NE;VIP;Forest
9.41400306927379;48.4200689186504;AEW05;A30591;NW;VIP;Forest
9.41536052212621;48.4191680177496;AEW05;A30591;SE;VIP;Forest
9.41400306927379;48.4191680177496;AEW05;A30591;SW;VIP;Forest
9.4466150928007;48.3945017686504;AEW06;A35255;NE;VIP;Forest
9.4452583221993;48.3945017686504;AEW06;A35255;NW;VIP;Forest
9.4466150928007;48.3936008677496;AEW06;A35255;SE;VIP;Forest
9.4452583221993;48.3936008677496;AEW06;A35255;SW;VIP;Forest
9.26203439596293;48.3966888607504;AEW07;A7321;NE;VIP;Forest
9.26067756703707;48.3966888607504;AEW07;A7321;NW;VIP;Forest
9.26203439596293;48.3957879598496;AEW07;A7321;SE;VIP;Forest
9.26067756703707;48.3957879598496;AEW07;A7321;SW;VIP;Forest
9.38306272542907;48.3830400012504;AEW08;A25660;NE;VIP;Forest
9.38170626037093;48.3830400012504;AEW08;A25660;NW;VIP;Forest
9.38306272542907;48.3821391003496;AEW08;A25660;SE;VIP;Forest
9.38170626037093;48.3821391003496;AEW08;A25660;SW;VIP;Forest
9.4158956794247;48.3697962141504;AEW09;A30535;NE;VIP;Forest
9.4145395671753;48.3697962141504;AEW09;A30535;NW;VIP;Forest
9.4158956794247;48.3688953132495;AEW09;A30535;SE;VIP;Forest
9.4145395671753;48.3688953132495;AEW09;A30535;SW;VIP;Forest
9.39382594424434;48.3782373745504;AEW10;A27281;NE;EP;Forest
9.39246960715566;48.3782373745504;AEW10;A27281;NW;EP;Forest
9.39382594424434;48.3773364736496;AEW10;A27281;SE;EP;Forest
9.39246960715566;48.3773364736496;AEW10;A27281;SW;EP;Forest
9.32043197813591;48.4920456016504;AEW11;A16193;NE;EP;Forest
9.31907259946409;48.4920456016504;AEW11;A16193;NW;EP;Forest
9.32043197813591;48.4911447007496;AEW11;A16193;SE;EP;Forest
9.31907259946409;48.4911447007496;AEW11;A16193;SW;EP;Forest
9.25204390916754;48.3699120863505;AEW12;A5863;NE;EP;Forest
9.25068779383246;48.3699120863505;AEW12;A5863;NW;EP;Forest
9.25204390916754;48.3690111854496;AEW12;A5863;SE;EP;Forest
9.25068779383246;48.3690111854496;AEW12;A5863;SW;EP;Forest
9.39935589020508;48.3793604256505;AEW13;A28098;NE;EP;Forest
9.39799952319492;48.3793604256505;AEW13;A28098;NW;EP;Forest
9.39935589020508;48.3784595247496;AEW13;A28098;SE;EP;Forest
9.39799952319492;48.3784595247496;AEW13;A28098;SW;EP;Forest
9.33843772090822;48.3760124905504;AEW14;A18920;NE;EP;Forest
9.33708144309178;48.3760124905504;AEW14;A18920;NW;EP;Forest
9.33843772090822;48.3751115896496;AEW14;A18920;SE;EP;Forest
9.33708144309178;48.3751115896496;AEW14;A18920;SW;EP;Forest
9.40718890188944;48.3899177299505;AEW15;A29334;NE;EP;Forest
9.40583225351056;48.3899177299505;AEW15;A29334;NW;EP;Forest
9.40718890188944;48.3890168290496;AEW15;A29334;SE;EP;Forest
9.40583225351056;48.3890168290496;AEW15;A29334;SW;EP;Forest
9.44533066847486;48.3865929126504;AEW16;A35042;NE;EP;Forest
9.44397410872514;48.3865929126504;AEW16;A35042;NW;EP;Forest
9.44533066847486;48.3856920117496;AEW16;A35042;SE;EP;Forest
9.44397410872514;48.3856920117496;AEW16;A35042;SW;EP;Forest
9.24367001279935;48.3969090703505;AEW17;A5149;NE;EP;Forest
9.24231317800065;48.3969090703505;AEW17;A5149;NW;EP;Forest
9.24367001279935;48.3960081694496;AEW17;A5149;SE;EP;Forest
9.24231317800065;48.3960081694496;AEW17;A5149;SW;EP;Forest
9.23447739169818;48.3654527204504;AEW18;A4246;NE;EP;Forest
9.23312139510182;48.3654527204504;AEW18;A4246;NW;EP;Forest
9.23447739169818;48.3645518195496;AEW18;A4246;SE;EP;Forest
9.23312139510182;48.3645518195496;AEW18;A4246;SW;EP;Forest
9.31186334732478;48.4846950169505;AEW19;A14961;NE;EP;Forest
9.31050416567522;48.4846950169505;AEW19;A14961;NW;EP;Forest
9.31186334732478;48.4837941160496;AEW19;A14961;SE;EP;Forest
9.31050416567522;48.4837941160496;AEW19;A14961;SW;EP;Forest
9.31939756951754;48.3705542065504;AEW20;A16058;NE;EP;Forest
9.31804143708246;48.3705542065504;AEW20;A16058;NW;EP;Forest
9.31939756951754;48.3696533056496;AEW20;A16058;SE;EP;Forest
9.31804143708246;48.3696533056496;AEW20;A16058;SW;EP;Forest
9.32187455516547;48.4848473172504;AEW21;A16389;NE;EP;Forest
9.32051536943453;48.4848473172504;AEW21;A16389;NW;EP;Forest
9.32187455516547;48.4839464163495;AEW21;A16389;SE;EP;Forest
9.32051536943453;48.4839464163495;AEW21;A16389;SW;EP;Forest
9.45331636946738;48.3827576876505;AEW22;A36262;NE;EP;Forest
9.45195991193262;48.3827576876505;AEW22;A36262;NW;EP;Forest
9.45331636946738;48.3818567867496;AEW22;A36262;SE;EP;Forest
9.45195991193262;48.3818567867496;AEW22;A36262;SW;EP;Forest
9.48865356693379;48.3862821867504;AEW23;A41483;NE;EP;Forest
9.48729701546621;48.3862821867504;AEW23;A41483;NW;EP;Forest
9.48865356693379;48.3853812858496;AEW23;A41483;SE;EP;Forest
9.48729701546621;48.3853812858496;AEW23;A41483;SW;EP;Forest
9.29546461972198;48.4794325029504;AEW24;A12513;NE;EP;Forest
9.29410557907802;48.4794325029504;AEW24;A12513;NW;EP;Forest
9.29546461972198;48.4785316020496;AEW24;A12513;SE;EP;Forest
9.29410557907802;48.4785316020496;AEW24;A12513;SW;EP;Forest
9.4216361957228;48.4763416514505;AEW25;A31470;NE;EP;Forest
9.4202772378772;48.4763416514505;AEW25;A31470;NW;EP;Forest
9.4216361957228;48.4754407505496;AEW25;A31470;SE;EP;Forest
9.4202772378772;48.4754407505496;AEW25;A31470;SW;EP;Forest
9.43884972134761;48.4179133634504;AEW26;A34057;NE;EP;Forest
9.4374923260524;48.4179133634504;AEW26;A34057;NW;EP;Forest
9.43884972134761;48.4170124625496;AEW26;A34057;SE;EP;Forest
9.4374923260524;48.4170124625496;AEW26;A34057;SW;EP;Forest
9.47502996912978;48.4006830621504;AEW27;A39499;NE;EP;Forest
9.47367303367022;48.4006830621504;AEW27;A39499;NW;EP;Forest
9.47502996912978;48.3997821612496;AEW27;A39499;SE;EP;Forest
9.47367303367022;48.3997821612496;AEW27;A39499;SW;EP;Forest
9.30568960631705;48.4928051170504;AEW28;A13956;NE;EP;Forest
9.30433020728295;48.4928051170504;AEW28;A13956;NW;EP;Forest
9.30568960631705;48.4919042161496;AEW28;A13956;SE;EP;Forest
